   Compiling mechanic-physics v0.1.0 (/Users/jens/repos/mechanic/crates/mechanic-physics)
    Finished `test` profile [optimized + debuginfo] target(s) in 2.13s
     Running unittests src/lib.rs (target/debug/deps/mechanic_physics-ced37d44e4e3378f)

running 138 tests
test free_motion::tests::anchored_tree_keeps_its_root_fixed_while_joint_motion_evolves ... ok
test free_motion::tests::asymmetric_free_rotation_converges_to_conserved_angular_momentum_and_energy ... ok
test free_motion::tests::authored_drive_and_loop_constraints_cannot_be_silently_ignored ... ok
test free_motion::tests::floating_tree_conserves_momentum_and_keeps_exact_joint_anchors_and_axes ... ok
test free_motion::tests::free_fall_matches_ballistic_motion_at_the_external_clock ... ok
test free_motion::tests::impulse_at_a_child_accelerates_the_whole_machine_with_correct_total_momentum ... ok
test free_motion::tests::off_centre_impulse_changes_momentum_once_independent_of_substeps ... ok
test free_motion::tests::principal_axis_spin_matches_the_analytic_orientation ... ok
test free_motion::tests::rejected_commands_and_failed_numerics_preserve_the_last_snapshot ... ok
test free_motion::tests::repeated_fixed_input_ticks_have_identical_completed_hashes ... ok
test joint_machine::impact::tests::contact_impulse_respects_an_active_joint_stop_and_back_drives_the_root ... ok
test joint_machine::impact::tests::failed_instantaneous_solve_preserves_all_physical_state ... ok
test joint_machine::impact::tests::impact_applies_restitution_once_without_moving_or_biasing_penetration ... ok
test joint_machine::tests::a_joint_limit_activates_at_arrival_and_then_advances_with_coupled_velocity ... ok
test joint_machine::tests::changing_targets_reuses_response_without_repeated_inverse_preparation ... ok
test joint_machine::tests::coupled_surface_substeps_hold_static_load_and_apply_kinetic_deceleration ... ok
test joint_machine::tests::failed_tick_and_drive_change_are_rolled_back_then_can_be_retried ... ok
test joint_machine::tests::hard_stop_reacts_against_a_stalled_drive_without_consuming_its_budget ... ok
test joint_machine::tests::implicit_spring_and_asymmetric_damping_match_the_scalar_midpoint_solution ... ok
test joint_machine::tests::loaded_spring_reaches_the_authored_equilibrium_with_preload ... ok
test joint_machine::tests::motor_budget_accelerates_rotor_and_back_drives_the_floating_mount ... ok
test joint_machine::tests::nonlinear_midpoint_rotation_converges_to_the_rk4_free_motion_reference ... ok
test joint_machine::tests::nonlinear_retry_restarts_the_same_tick_without_duplicating_impulses ... ok
test joint_machine::tests::progressive_rubber_and_damping_satisfy_the_actual_midpoint_force_equation ... ok
test joint_machine::tests::refreshed_terrain_manifolds_hold_a_free_body_without_velocity_or_pose_drift ... ok
test joint_machine::tests::speed_torque_curve_fades_acceleration_but_keeps_braking_effort ... ok
test joint_machine::tests::terrain_support_and_suspension_share_the_implicit_force_response ... ok
test joint_machine::tests::terrain_ticks::changed_supporting_terrain_or_wrong_topology_cannot_publish_an_invalid_tick ... ok
test joint_machine::tests::terrain_ticks::failed_terrain_path_retries_match_direct_quality_and_consume_impulse_once ... ok
test joint_machine::tests::terrain_ticks::final_terrain_failure_retains_completed_state_and_does_not_consume_a_command ... ok
test joint_machine::tests::terrain_ticks::first_impacts::a_fast_drop_through_a_finite_hole_does_not_activate_a_ghost_surface ... ok
test joint_machine::tests::terrain_ticks::first_impacts::a_near_resting_fall_locates_impact_without_tiny_prefix_exhaustion ... ok
test joint_machine::tests::terrain_ticks::first_impacts::a_rotating_cube_reaches_a_real_finite_edge_before_applying_impact ... ok
test joint_machine::tests::terrain_ticks::first_impacts::an_initial_touching_impact_bounces_once_then_advances_with_outgoing_velocity ... ok
test joint_machine::tests::terrain_ticks::first_impacts::cold_fast_impact_matches_analytic_bounce_and_uses_the_remaining_tick ... ok
test joint_machine::tests::terrain_ticks::first_impacts::exhausted_event_trials_preserve_snapshot_and_do_not_consume_an_impulse ... ok
test joint_machine::tests::terrain_ticks::first_impacts::existing_floor_support_does_not_hide_a_new_finite_wall_impact ... ok
test joint_machine::tests::terrain_ticks::first_impacts::gravity_is_reintegrated_at_the_impact_time_before_restitution ... ok
test joint_machine::tests::terrain_ticks::first_impacts::released_support_can_return_and_impact_the_same_triangle_within_one_tick ... ok
test joint_machine::tests::terrain_ticks::first_impacts::separating_support_releases_before_gravity_reverses_its_velocity ... ok
test joint_machine::tests::terrain_ticks::first_impacts::shallow_first_impact_activates_even_when_its_depth_envelope_would_pass ... ok
test joint_machine::tests::terrain_ticks::recovery::split_recovery_changes_positions_without_time_velocity_or_physical_impulses ... ok
test joint_machine::tests::terrain_ticks::recovery::split_recovery_does_not_extend_finite_terrain_into_empty_space ... ok
test joint_machine::tests::terrain_ticks::recovery::split_recovery_rejects_excessive_penetration_before_mutating_state ... ok
test joint_machine::tests::terrain_ticks::rolling_edge::a_rotating_released_edge_does_not_report_a_frozen_row_reversal ... ok
test joint_machine::tests::terrain_ticks::rolling_edge::rotating_edge_support_force_converges_to_constrained_rigid_body_equation ... ok
test joint_machine::tests::terrain_ticks::rolling_edge::rotating_support_uses_the_normal_velocity_at_its_reconstructed_end_pose ... ok
test joint_machine::tests::terrain_ticks::saved_car::a_validated_car_prefix_advances_time_once_when_reintegration_is_not_nested ... ok
test joint_machine::tests::terrain_ticks::saved_car::activation_preserves_existing_authored_car_support_manifolds ... ok
test joint_machine::tests::terrain_ticks::saved_car::car_contact_reversal_uses_bounded_trials_and_agrees_with_finer_integration ... ok
test joint_machine::tests::terrain_ticks::saved_car::endpoint_contact_car_cold_drop_remains_bounded_through_settling ... FAILED
test joint_machine::tests::terrain_ticks::saved_car::endpoint_contact_cold_drop_with_eight_fixed_substeps ... FAILED
test joint_machine::tests::terrain_ticks::saved_car::reintegration_reuses_initial_geometry_until_a_validated_prefix_changes_the_state ... ok
test joint_machine::tests::terrain_ticks::saved_car::saved_car_cold_drop_remains_bounded_through_settling ... FAILED
test joint_machine::tests::terrain_ticks::saved_car::saved_car_cold_drop_resolves_its_first_impact_before_publication ... ok
test joint_machine::tests::terrain_ticks::saved_car::saved_car_first_supported_tick_repeats_with_authored_drives_and_suspension ... ok
test joint_machine::tests::terrain_ticks::saved_car::saved_car_linear_suspension_paths_are_exact_affine_translations ... ok
test joint_machine::tests::terrain_ticks::saved_car::saved_car_sustained_support_repeats_at_each_substep_policy ... ok
test joint_machine::tests::terrain_ticks::saved_car::split_recovery_clears_recorded_car_penetration_without_changing_generalized_velocity ... ok
test joint_machine::tests::terrain_ticks::split_joint_recovery_checks_terrain_and_restores_physical_velocity_on_failure ... ok
test joint_machine::tests::terrain_ticks::supported_ticks_validate_motion_before_publication_and_repeat_at_each_substep_policy ... ok
test joint_machine::tests::terrain_ticks::terrain_failure_does_not_commit_a_drive_change ... ok
test joint_machine::tests::timed_travel_stop_preserves_floating_machine_momentum_without_rebound ... ok
test joint_machine::tests::undamped_spring_oscillation_converges_without_artificial_decay ... ok
test joint_machine::tests::unlimited_drive_remains_unbounded_and_can_be_disabled_at_no_load ... ok
test joint_machine::tests::whole_tick_impulses_are_not_reapplied_at_each_substep ... ok
test machine::tests::free_body_gravity_is_independent_of_mass_and_does_not_generate_torque ... ok
test machine::tests::point_acceleration_bias_matches_reconstructed_constant_rate_motion ... ok
test motion_path::tests::a_near_unit_root_has_the_same_normalized_pose_at_cached_and_sampled_start ... ok
test motion_path::tests::authored_car_spatial_derivatives_and_acceleration_bounds_cover_reconstructed_motion ... ok
test motion_path::tests::full_root_rotation_is_preserved_between_matching_endpoint_orientations ... ok
test motion_path::tests::invalid_displacements_and_fractions_fail_without_changing_the_initial_state ... ok
test motion_path::tests::motion_bounds_round_outward_and_reject_invalid_radius_inputs ... ok
test motion_path::tests::pose_only_queries_are_not_limited_by_dense_inertia_capacity ... ok
test response::articulated::tests::authored_car_suspension_and_branched_inertia_match_dense ... ok
test response::articulated::tests::coupled_car_contact_response_uses_tree_inverse_with_original_friction_bounds ... ok
test response::articulated::tests::independent_floating_and_fixed_components_remain_uncoupled ... ok
test response::articulated::tests::large_coaxial_chain_matches_independent_torque_balance_without_dense_storage ... ok
test response::articulated::tests::tree_com_velocities_match_dense_jacobians_in_rotated_mixed_mechanisms ... ok
test response::articulated::tests::tree_factor_rejects_invalid_poses_diagonals_and_impulses ... ok
test response::articulated::tests::tree_inverse_matches_dense_for_floating_anchored_and_reversed_joints ... ok
test response::newton::continuation::mixed::tests::mixed_search_reconstructs_every_original_newton_row_above_the_dense_response_boundary ... ok
